points,$\bar{T}$,$\sigma ^ 2_{T}$,$\bar{f}$,$\frac{\bar{g}}{\bar{f}}$,$R_0}$,$a$,$b$,$\mu_{\delta}$,$\sigma_{\delta} ^ 2$,lat,lon
0,15.815906,69.94062042236328,1285.876021063271,0.07405750659039546,6.531276158871565,6.3919628179510175,25.324738248882415,3.1354052459815607e-10,25.00604998267563,40.09999999999972,-6.799999999999978
1,13.174284,55.71706008911133,947.8430235610896,0.18503036910614676,6.423673570954636,5.1163167881424085,21.305136958922677,2.3067607955059232e-10,22.862939777417125,41.299999999999734,-7.3999999999999755
2,16.866425,42.60446548461914,1529.2705095383808,0.004706322485405132,6.685426585911425,8.922092035579391,24.883786434957837,-9.024144021243899e-10,10.65602392331587,39.69999999999971,2.8000000000000167
3,16.797398,42.26387405395508,1564.9793511295431,0.008187199488123601,6.623260435777565,8.69832326213639,24.97078158178462,-4.839289590224756e-10,9.060526510589279,41.09999999999973,16.899999999999988
4,15.193107,60.03544235229492,1183.8715433454356,0.07040379179837529,6.720363612600784,6.857015950771592,23.604857640014266,2.5602873756080376e-11,24.871452147063305,39.39999999999971,-7.3999999999999755
5,14.57161,61.347354888916016,1123.9365469658244,0.10425175685277563,6.595848744626456,6.023694977057156,23.196857050849438,2.070770583808448e-10,24.377767359469956,40.09999999999972,-7.499999999999975
