points,$\bar{T}$,$\sigma ^ 2_{T}$,$\bar{f}$,$\frac{\bar{g}}{\bar{f}}$,$R_0}$,$a$,$b$,$\mu_{\delta}$,$\sigma_{\delta} ^ 2$,lat,lon
3870,16.395478803731184,7.551122302098126,1142.4212968180705,0.0,7.298417385001336,12.910512021420617,19.883521051406845,-6.170335107808801e-11,1.4732871985036256,38.95,-9.42
5709,16.065548367766272,33.131466125696846,1376.6392263671976,0.00561156534805125,6.868667198890653,8.458309984706117,23.680837863606982,-3.1023848442808405e-10,4.158030787546053,39.55,2.57
5710,13.950301614322825,44.03806707277024,1090.4478668397528,0.08597062317126149,6.788237370199914,5.334090675391874,22.576181020574907,1.7812805564880725e-12,6.862780895204041,40.87438066753962,16.703334406381828
5711,11.705499906434724,33.61331792892883,617.2531974247569,0.24353874772985754,7.24240976859861,4.314333312612067,19.10462786162217,1.7870542790139955e-10,6.261011529400015,42.20022914062249,8.864759081056688
